x y
196.01405377507035 -387.5801144537832
-719.9733712992363 -17.000178818297623
469.74218179756735 -54.46668135751557
796.1752271038067 -810.0531282979548
327.7571127288988 24.564312145164468
-485.7162293925279 125.49257631310358
584.2398256181634 -130.31362416031308
-6.01154866770771 -126.01709279548606
384.82813958765377 -62.565871347139854
-554.5540427538974 -258.07508180739393
-458.8719507162002 144.55598238265966
-516.5287249484928 -46.669439558804555
211.02355329916583 172.16681755864096
-115.71976653857087 41.28455870168735
13.284439759655443 -628.7882307835102
-49.387363711540914 -263.2814855839027
-396.9930492003447 -442.43449161789545
32.40324575513671 548.2903171867345
660.0986744034151 -944.3080994139491
113.11425127438895 -59.25677481877996
-153.97905188798364 -88.23888208633831
-304.0673884249002 -72.98073826263827
-407.9215644108529 130.32337160271126
-161.21830544995655 -50.96924177986991
418.1048976110595 -229.5348963733352
265.4125812824254 -611.9799779720548
194.7992738880102 60.32463702918089
-1074.044719031452 345.096588381432
-221.05159430111118 168.14495438180495
-395.2513340039809 97.76002968961967
-749.4497497617008 14.594933064092674
46.04996892886656 -245.38025357840309
204.6007180911852 365.9685583332675
260.9772692584218 -467.31176538375536
-190.12203842818874 -193.48857412926898
105.9391032028721 157.50998470086859
195.84487682128764 464.17329905153434
-63.54817478810618 336.12493585980627
-508.4056815628659 472.6719445401383
-73.229660116573 508.2334770155423
-555.5060774811388 -64.78326408860079
228.3389083705425 340.2050157604381
-220.98437148834012 -146.07017172031374
-83.46410715116143 -49.1101049830265
157.1322969463657 26.95587086880512
-420.5064625971118 -283.7850058423929
-102.98456947472451 -137.1192386009822
-33.099626750178935 2.6419796926982477
-415.7353860201883 72.44991545735628
205.60553451399443 207.53720347516568
502.09615185283525 316.9502227354992
912.2617424337762 -58.58095040033204
-476.17240335709937 -4.153958207426929
-292.50015639869247 -28.719478031441188
-31.650087864257983 -33.69601234613752
261.50205639831506 65.97954959754865
-113.6637911393979 -214.55306774067418
475.4276294110537 -43.16477432206849
122.3283878602043 -314.50293878897475
94.64424548722485 -400.3237866716552
-25.61330922402637 -231.85975937547934
-175.8932815414876 75.78434458308303
356.15076692064326 -487.6991963863236
740.3262841893293 -298.5589121491332
674.3834785481921 230.52592344966874
-107.73411433071523 -350.4465970551152
-1189.258061914105 -92.49522199011675
310.3655401648943 138.33841089179302
-369.85634785488054 -399.64313412920325
413.0582316346229 73.35160516868063
137.71575771174193 421.65863659904034
-134.20746295943766 239.39594094774404
-104.65079988336828 188.75156205378178
-214.92404500892235 138.73478000995811
237.57872937432066 52.0199903562204
427.6783263315424 274.70607179816847
686.4312341367944 -312.31639087481193
-286.2540623554538 -111.97356170104429
700.40062095295 -333.1852027458227
452.00445250063564 83.73972977232685
-517.5242904229959 390.09901214166115
-894.4244117571693 -210.03597315611964
115.38902409966255 -77.14690720408323
-222.15358579462426 431.64808915712945
-351.8962299138093 102.1753224986201
348.33947582246145 469.2125832145555
210.49447405871382 345.0909099770452
178.09334581137932 -147.51081409540265
-233.6769999104425 423.55695348493686
-1049.243735796281 99.96890818896118
-199.3453352388098 -226.86611118659155
-234.55759968294825 -43.06435773182278
-15.712182063179329 -129.98648774718333
250.9586840803861 -81.52428347495695
-446.16927356185624 357.32217852700785
-63.53380004903263 -122.71288264383159
74.1469873674123 122.3853465575521
315.2142539157721 19.92868399920401
-1166.0132889728918 -722.3201765957125
-428.51616173199693 45.52468357767374
-576.0639273863814 367.00813304616423
-166.75495049425857 15.114996703942609
-7.065656293694959 345.3050263662697
-44.23374312085068 -169.42736852523595
-583.8486976774506 82.03104395615817
-342.15164165559304 348.341215180511
-6.903843705744351 -633.3879930147772
-260.523370199105 147.95611689360487
-251.65929641356217 -264.1173446115611
-270.22351867887863 95.14909647315369
174.26214447071797 -727.6938829567946
220.26712122871672 303.4789506130763
-457.7257844294754 -163.25888781997452
130.0461775747826 515.055292537519
270.4358022412966 -570.3913654427846
282.2726419046352 -3.8559802734433224
388.5595256301479 -140.33414611125264
97.97459048535688 -262.2825429443518
-38.9445936386041 -36.48745178532416
-226.44170109638318 24.62334452888824
